Social.Category,Source,gender.main,gender_norm.main,gender.ext,gender_norm.ext,gender.red,gender_norm.red,age.main,age_norm.main,age.ext,age_norm.ext,age.red,age_norm.red
abandoned infant,GPT2,-0.19708686,0.54087671,0.001662315,0.527162276,-0.10824316,0.561858368,-0.07023683,0.35742647,-0.004732379,0.31998528,-0.055445667,0.41942346
abandoned person,GPT2,-0.19913393,0.535576769,0.001235983,0.523567307,-0.110507034,0.554830214,-0.065569766,0.382293917,-0.001177519,0.343708417,-0.04898906,0.477158513
abiogenist,GPT2,-0.2311558,0.452670945,0.004316671,0.549544687,-0.15107472,0.428888592,-0.097011924,0.21476114,-0.026443597,0.175096834,-0.06378384,0.344863422
able-bodied seaman,GPT2,-0.16294762,0.629264483,0.001341426,0.524456433,-0.067956425,0.686927783,-0.04203567,0.507690287,0.016285926,0.460249616,-0.043687154,0.524568216
able seaman,GPT2,-0.1814258,0.581423782,0.002330052,0.532792854,-0.08904282,0.621465465,-0.055517398,0.435855798,0.006878853,0.397472106,-0.049393672,0.473540468
abolitionist,GPT2,-0.23886938,0.432700197,-0.007207289,0.452370833,-0.15051098,0.430638712,-0.09018831,0.2511193,-0.016083756,0.24423258,-0.06668688,0.318904405
abortionist,GPT2,-0.14807923,0.667759303,0.000484918,0.517234073,-0.054561913,0.728510795,-0.041345403,0.511368226,0.0231303,0.505925115,-0.054026715,0.432111745
absentee,GPT2,-0.22760051,0.461875725,0.00062855,0.518445227,-0.14107844,0.459921856,-0.08159473,0.296908343,-0.011389153,0.275561718,-0.05762601,0.399926808
absolutist,GPT2,-0.23815823,0.434541391,-0.008590659,0.440705801,-0.14247605,0.455583002,-0.080186434,0.304412145,-0.009544551,0.287871553,-0.059602253,0.382255221
abstract artist,GPT2,-0.26970664,0.352861374,-0.008957153,0.437615402,-0.16976544,0.370863601,-0.09288965,0.23672579,-0.014478741,0.254943547,-0.06459585,0.337602419
academic administrator,GPT2,-0.21769299,0.487526666,-0.006729567,0.456399142,-0.12266407,0.517088923,-0.070511885,0.355960899,0.00088921,0.357500601,-0.056782633,0.407468295
academic,GPT2,-0.25663626,0.386701078,-0.02386343,0.311920731,-0.15418854,0.419221796,-0.085123375,0.278106716,-0.002684565,0.333651239,-0.0730456,0.262044659
academician,GPT2,-0.2219552,0.476491644,-0.009249913,0.435146752,-0.12650456,0.505166194,-0.07292502,0.343103028,0.000412707,0.354320686,-0.060668822,0.372717948
accompanyist,GPT2,-0.23903719,0.432265731,-0.010517954,0.42445421,-0.14334646,0.45288083,-0.081490755,0.297462351,-0.004348417,0.322547627,-0.067212544,0.314203912
accomplice,GPT2,-0.2750982,0.338902423,-0.013664847,0.397918565,-0.17352782,0.359183363,-0.09352615,0.233334337,-0.015470311,0.248326367,-0.06569534,0.327770767
accordionist,GPT2,-0.23548251,0.441468931,-0.008747943,0.43937953,-0.14011158,0.462923455,-0.085084185,0.278315532,-0.006898656,0.30552877,-0.071294285,0.277704938
account executive,GPT2,-0.21273138,0.50037246,0.002421355,0.533562757,-0.11994265,0.525537521,-0.06926114,0.362625225,0.00261838,0.36904011,-0.053757638,0.434517834
account representative,GPT2,-0.21742958,0.488208644,-0.003736254,0.481639751,-0.12352591,0.514413357,-0.070310265,0.357035188,0.003854305,0.377287973,-0.057144508,0.404232404
accountant,GPT2,-0.28235257,0.320120587,-0.01886626,0.354058526,-0.17959751,0.340340124,-0.09435428,0.228921824,-0.00540041,0.315527215,-0.07505652,0.24406299
accused,GPT2,-0.24274059,0.422677489,-0.004674959,0.473724281,-0.15516649,0.416185768,-0.091702536,0.243051072,-0.015450263,0.248460156,-0.06907533,0.297546858
accuser,GPT2,-0.26028115,0.377264321,-0.010482216,0.424755565,-0.16208938,0.394693786,-0.08808738,0.262313653,-0.009173368,0.29034862,-0.0662781,0.322559721
acoustician,GPT2,-0.25589687,0.388615387,-0.013829037,0.39653406,-0.15414508,0.419356717,-0.09185745,0.242225646,-0.01622058,0.243319494,-0.068646245,0.301383741
acquaintance,GPT2,-0.30967,0.249394735,-0.018744232,0.355087506,-0.20436865,0.263438583,-0.110836625,0.141099193,-0.024090918,0.190797289,-0.080973275,0.191155299
