iter	Passed	Remaining
0	2	2816
1	6	3123
2	9	3217
3	13	3355
4	17	3433
5	20	3417
6	25	3610
7	32	4083
8	40	4492
9	46	4563
10	50	4584
11	54	4463
12	57	4353
13	61	4306
14	64	4242
15	68	4192
16	71	4126
17	74	4091
18	78	4039
19	82	4043
20	85	3988
21	88	3943
22	91	3897
23	94	3855
24	98	3843
25	104	3908
26	109	3952
27	115	3995
28	118	3971
29	122	3962
30	125	3934
31	131	3966
32	136	3998
33	139	3976
34	144	3976
35	148	3982
36	152	3970
37	156	3960
38	160	3965
39	164	3942
40	167	3913
41	171	3905
42	178	3970
43	182	3969
44	188	4001
45	194	4037
46	201	4075
47	204	4061
48	209	4064
49	213	4057
50	219	4083
51	224	4085
52	227	4071
53	231	4059
54	236	4062
55	241	4071
56	245	4053
57	249	4054
58	253	4044
59	258	4046
60	261	4021
61	264	3998
62	267	3977
63	271	3970
64	274	3952
65	277	3933
66	281	3915
67	285	3911
68	290	3916
69	295	3921
70	298	3910
71	302	3902
72	306	3895
73	310	3888
74	314	3879
75	318	3868
76	322	3864
77	325	3846
78	328	3828
79	331	3813
80	336	3820
81	342	3839
82	346	3829
83	351	3830
84	354	3818
85	357	3802
86	361	3790
87	364	3777
88	368	3771
89	371	3759
90	374	3745
91	380	3757
92	391	3822
93	403	3887
94	413	3942
95	423	3985
96	431	4021
97	441	4066
98	452	4121
99	463	4169
100	472	4206
101	479	4225
102	489	4266
103	500	4315
104	509	4342
105	518	4376
106	524	4378
107	535	4420
108	546	4464
109	554	4488
110	565	4529
111	573	4549
112	584	4585
113	594	4623
114	602	4635
115	613	4673
116	623	4707
117	633	4738
118	638	4729
119	648	4755
120	657	4776
121	661	4757
122	664	4738
123	667	4718
124	674	4724
125	679	4715
126	683	4699
127	689	4699
128	696	4702
129	705	4718
130	713	4735
131	717	4717
132	721	4705
133	725	4685
134	728	4665
135	731	4647
