,domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
0,social,education,World,adultLiteracy,2000,5093026952,5917.170385871797,23.134617173360937
1,social,education,World,adultLiteracy,2001,5166913768,6053.3302219479165,23.1516462328715
2,social,education,World,adultLiteracy,2002,5241060503,6212.355949253122,23.081503353333318
3,social,education,World,adultLiteracy,2003,5315327205,6443.863703497498,22.961857041389422
4,social,education,World,adultLiteracy,2004,5389771095,6805.23573067239,22.70226234174521
5,social,education,World,adultLiteracy,2005,5464506483,7124.185745446327,22.445086451887676
6,social,education,World,adultLiteracy,2006,5539855588,7549.909429530162,21.981229804354157
7,social,education,World,adultLiteracy,2007,5616142535,8018.043228759818,21.84144870081228
8,social,education,World,adultLiteracy,2008,5693437575,8291.182971721888,21.42814930089709
9,social,education,World,adultLiteracy,2009,5771936942,8317.463511276223,20.862727717874122
10,social,education,World,adultLiteracy,2010,5851156871,8728.10350930272,20.283664762077905
11,social,education,World,adultLiteracy,2011,5930992674,9114.890355766503,19.71195707215871
12,social,education,World,adultLiteracy,2012,6011731298,9408.038118088429,19.32643308011866
13,social,education,World,adultLiteracy,2013,6092371544,9679.618518401954,19.038129474595138
14,social,education,World,adultLiteracy,2014,6172884565,10009.146386661932,18.649380341369422
15,social,education,World,adultLiteracy,2015,6252811852,10285.231504208894,18.29459415191917
16,social,education,World,adultLiteracy,2016,6332159184,10584.867856957708,17.82118653474683
17,social,education,World,adultLiteracy,2017,6411439070,10940.21004355702,17.397868542098777
18,social,education,World,adultLiteracy,2018,6488655762,11270.459084747568,17.049529748261776
19,social,education,World,adultLiteracy,2019,6563082705,11536.527075145872,16.632885909722432
20,social,education,World,adultLiteracy,2020,6633612122,11141.71368029333,16.390907342681004
21,social,education,World,adultLiteracy,2021,6697928320,11731.21741272976,16.285196016087355
22,social,education,World,adultLiteracy,2022,6757361726,12080.37175510846,16.151479052027454
23,social,education,Bottom-40,adultLiteracy,2000,2347606948,2598.316835252852,38.6256974115954
24,social,education,Bottom-40,adultLiteracy,2001,2397098690,2670.18834143248,38.707896058329
25,social,education,Bottom-40,adultLiteracy,2002,2447505448,2739.468863550334,38.60609822017233
26,social,education,Bottom-40,adultLiteracy,2003,2498003569,2855.158801218986,38.51077013292244
27,social,education,Bottom-40,adultLiteracy,2004,2548196123,3002.899497585328,38.12858264937881
28,social,education,Bottom-40,adultLiteracy,2005,2598180462,3151.8613583006254,37.9014449722416
29,social,education,Bottom-40,adultLiteracy,2006,2648194073,3324.9786625488223,37.09489682806113
30,social,education,Bottom-40,adultLiteracy,2007,2698338242,3496.7119684324884,37.04949316227766
31,social,education,Bottom-40,adultLiteracy,2008,2748359562,3573.3447356063084,36.42239569105032
32,social,education,Bottom-40,adultLiteracy,2009,2799145385,3716.564586830814,35.56287199984591
33,social,education,Bottom-40,adultLiteracy,2010,2851207507,3890.228310811581,34.565240616125394
34,social,education,Bottom-40,adultLiteracy,2011,2903993635,4064.999566227804,33.55829854465473
35,social,education,Bottom-40,adultLiteracy,2012,2956406405,4161.975185572237,32.89495507884381
36,social,education,Bottom-40,adultLiteracy,2013,3007670187,4307.899244559377,32.34879692251083
37,social,education,Bottom-40,adultLiteracy,2014,3058726188,4515.144194111746,31.740433982181656
38,social,education,Bottom-40,adultLiteracy,2015,3110194199,4722.208864517164,31.012983233265913
39,social,education,Bottom-40,adultLiteracy,2016,3163329450,4909.320444249879,30.11303174447957
40,social,education,Bottom-40,adultLiteracy,2017,3217851428,5116.403897247461,29.253762585355602
41,social,education,Bottom-40,adultLiteracy,2018,3272431232,5317.706610557388,28.720949447030875
