,domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
0,social,income and work,World,societalPoverty,2000,5449350369,10359.12004263941,84.91608777305612
1,social,income and work,World,societalPoverty,2001,5521077455,10502.66052782632,84.58145785980076
2,social,income and work,World,societalPoverty,2002,5591521513,10680.728573237173,84.21768724659651
3,social,income and work,World,societalPoverty,2003,5661619898,10951.0016508136,83.88299294599337
4,social,income and work,World,societalPoverty,2004,5732740103,11366.148395250268,83.299255881497
5,social,income and work,World,societalPoverty,2005,5803890812,11740.827305809282,82.84213662578868
6,social,income and work,World,societalPoverty,2006,5875087997,12213.587722575336,82.20622644969305
7,social,income and work,World,societalPoverty,2007,5947858944,12711.150204462718,81.46675259103881
8,social,income and work,World,societalPoverty,2008,6020959783,12910.891896549618,80.82300411158884
9,social,income and work,World,societalPoverty,2009,6094252162,12729.031149314947,80.42028349275428
10,social,income and work,World,societalPoverty,2010,6168831144,13210.056161205524,79.81551373318119
11,social,income and work,World,societalPoverty,2011,6243969616,13611.253893509856,79.31551655949569
12,social,income and work,World,societalPoverty,2012,6319311431,13881.92457962637,78.58608068943933
13,social,income and work,World,societalPoverty,2013,6393434346,14149.30035956638,77.71354292387896
14,social,income and work,World,societalPoverty,2014,6466912470,14522.132993402276,77.0336670989559
15,social,income and work,World,societalPoverty,2015,6540559806,14843.95003511611,76.40765660580801
16,social,income and work,World,societalPoverty,2016,6614462263,15170.96591587571,75.64092754967889
17,social,income and work,World,societalPoverty,2017,6688718365,15640.688099790752,74.70757922752239
18,social,income and work,World,societalPoverty,2018,6761079030,16072.741628426164,73.95985409084031
19,social,income and work,World,societalPoverty,2019,6830768190,16421.106015567988,73.43638883965225
20,social,income and work,World,societalPoverty,2020,6895905900,15783.783953880406,74.02589505355965
21,social,income and work,World,societalPoverty,2021,6953749907,16650.605114805283,72.4897518149641
22,social,income and work,World,societalPoverty,2022,7008038580,17072.054188732785,72.51347965678372
23,social,income and work,Bottom-40,societalPoverty,2000,2152166810,2684.540987586587,98.51536152089692
24,social,income and work,Bottom-40,societalPoverty,2001,2197684548,2761.9152772266693,98.47128408666083
25,social,income and work,Bottom-40,societalPoverty,2002,2242921415,2831.736967552635,98.43504213064091
26,social,income and work,Bottom-40,societalPoverty,2003,2287917137,2952.6488941954885,98.36472762711632
27,social,income and work,Bottom-40,societalPoverty,2004,2333234325,3107.9157096264053,98.2519004831108
28,social,income and work,Bottom-40,societalPoverty,2005,2378349208,3261.5690466070905,98.14046367490889
29,social,income and work,Bottom-40,societalPoverty,2006,2423218342,3443.390378950363,98.04346178248986
30,social,income and work,Bottom-40,societalPoverty,2007,2468657268,3617.817546211251,97.9658529120645
31,social,income and work,Bottom-40,societalPoverty,2008,2513881847,3697.124816600056,97.86366437189878
32,social,income and work,Bottom-40,societalPoverty,2009,2559308024,3846.8486850046743,97.5989962650182
33,social,income and work,Bottom-40,societalPoverty,2010,2606087045,4031.517974801952,97.24454745469242
34,social,income and work,Bottom-40,societalPoverty,2011,2653273258,4205.484918151589,97.04736522434348
35,social,income and work,Bottom-40,societalPoverty,2012,2699712562,4307.931155000349,96.95647280364028
36,social,income and work,Bottom-40,societalPoverty,2013,2744890513,4464.264962206906,96.81906608610232
37,social,income and work,Bottom-40,societalPoverty,2014,2789473928,4677.0135558679485,96.67838325282528
38,social,income and work,Bottom-40,societalPoverty,2015,2834464429,4896.494946821535,96.47233639609162
39,social,income and work,Bottom-40,societalPoverty,2016,2881056442,5093.263739995784,96.3136404672038
40,social,income and work,Bottom-40,societalPoverty,2017,2928694123,5321.033159748209,95.84096762013796
41,social,income and work,Bottom-40,societalPoverty,2018,2976363554,5542.574462796242,95.72764016127392
42,social,income and work,Bottom-40,societalPoverty,2019,3024138146,5689.957997791354,95.891632323052
43,social,income and work,Bottom-40,societalPoverty,2020,3072027706,5380.666398289855,96.0096829364263
44,social,income and work,Bottom-40,societalPoverty,2021,3118108328,5644.883166811784,96.02217688577625
45,social,income and work,Bottom-40,societalPoverty,2022,3162808333,5919.2433894163305,96.03022262605111
46,social,income and work,Middle-40,societalPoverty,2000,2592751898,7312.098806896094,91.57565603336788
47,social,income and work,Middle-40,societalPoverty,2001,2614066024,7539.277300655871,90.81484636132632
48,social,income and work,Middle-40,societalPoverty,2002,2634185782,7873.374107295923,90.0148511975068
49,social,income and work,Middle-40,societalPoverty,2003,2653891228,8260.572976113444,89.36825706717516
50,social,income and work,Middle-40,societalPoverty,2004,2673999319,8781.082574536475,88.27939714439852
51,social,income and work,Middle-40,societalPoverty,2005,2694227760,9274.027828050896,87.28915002429545
52,social,income and work,Middle-40,societalPoverty,2006,2714683626,9945.011231973916,85.93916981476889
53,social,income and work,Middle-40,societalPoverty,2007,2735651324,10735.517458556287,84.5916584654741
54,social,income and work,Middle-40,societalPoverty,2008,2757068724,11265.934437271057,83.02844302745136
55,social,income and work,Middle-40,societalPoverty,2009,2779041246,11312.40308761485,82.28290482792845
56,social,income and work,Middle-40,societalPoverty,2010,2801427738,11995.534448933788,81.00047968045935
57,social,income and work,Middle-40,societalPoverty,2011,2824032009,12613.532583009252,79.82261246856261
58,social,income and work,Middle-40,societalPoverty,2012,2847635551,13162.446563680129,78.0464153360061
59,social,income and work,Middle-40,societalPoverty,2013,2871568122,13638.526879014518,76.0191012251034
60,social,income and work,Middle-40,societalPoverty,2014,2895617962,14170.7463662643,74.48792629902366
61,social,income and work,Middle-40,societalPoverty,2015,2919510161,14568.085637966657,73.34837289520966
62,social,income and work,Middle-40,societalPoverty,2016,2941917647,15038.11237646045,71.84840526150153
63,social,income and work,Middle-40,societalPoverty,2017,2963567593,15684.22987542288,70.04689042384864
64,social,income and work,Middle-40,societalPoverty,2018,2983538738,16279.2163478289,68.52134237903353
65,social,income and work,Middle-40,societalPoverty,2019,3000857871,16818.50916069114,67.13675338782285
66,social,income and work,Middle-40,societalPoverty,2020,3014663946,16599.550420822263,68.51972542921622
67,social,income and work,Middle-40,societalPoverty,2021,3024106694,17653.81745979935,64.87719673513882
68,social,income and work,Middle-40,societalPoverty,2022,3031191417,18145.24577802818,64.08770849837336
69,social,income and work,Top-20,societalPoverty,2000,704431661,45021.31052477,18.85643085625682
70,social,income and work,Top-20,societalPoverty,2001,709326883,45406.449219400536,18.57529526888469
71,social,income and work,Top-20,societalPoverty,2002,714414316,45674.09869176336,18.20666880349889
72,social,income and work,Top-20,societalPoverty,2003,719811533,46293.1325179835,17.62911800996078
73,social,income and work,Top-20,societalPoverty,2004,725506459,47452.46559520974,16.85612862667304
74,social,income and work,Top-20,societalPoverty,2005,731313844,48404.64410144912,16.70633000163729
75,social,income and work,Top-20,societalPoverty,2006,737186029,49396.2925502545,16.40080221944043
76,social,income and work,Top-20,societalPoverty,2007,743550352,50170.56908482782,15.19111075564168
77,social,income and work,Top-20,societalPoverty,2008,750009212,49840.54839263387,15.59880104286106
78,social,income and work,Top-20,societalPoverty,2009,755902892,48010.16176476307,15.40939455945082
79,social,income and work,Top-20,societalPoverty,2010,761316361,49098.50631469622,15.793278091526549
80,social,income and work,Top-20,societalPoverty,2011,766664349,49837.892377986034,16.08120154352314
81,social,income and work,Top-20,societalPoverty,2012,771963318,50018.15131849807,16.33181679772594
82,social,income and work,Top-20,societalPoverty,2013,776975711,50252.20837517733,16.48014291725102
83,social,income and work,Top-20,societalPoverty,2014,781820580,50950.16539208302,16.371499895198042
84,social,income and work,Top-20,societalPoverty,2015,786585216,51713.56813556868,15.45938260931274
85,social,income and work,Top-20,societalPoverty,2016,791488174,52348.11386710768,14.48781614713012
86,social,income and work,Top-20,societalPoverty,2017,796456649,53425.63699421007,14.33899024622282
87,social,income and work,Top-20,societalPoverty,2018,801176738,54423.306476644,13.34546972504606
88,social,income and work,Top-20,societalPoverty,2019,805772173,55216.09641408557,12.62087620738099
89,social,income and work,Top-20,societalPoverty,2020,809214248,52238.163836850224,11.08143437727539
90,social,income and work,Top-20,societalPoverty,2021,811534885,55198.8088604655,10.4400818047932
91,social,income and work,Top-20,societalPoverty,2022,814038830,56408.20452714068,12.517784597325079
92,social,income and work,World,youthNEET,2000,4258300203,13804.05181070608,
93,social,income and work,World,youthNEET,2001,4317755235,13890.286066008974,
94,social,income and work,World,youthNEET,2002,4377298652,13974.87151770608,
