,domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
0,social,water,World,drinkingH2O,2000,3106874362,17140.667342915134,39.31293234206692
1,social,water,World,drinkingH2O,2001,3147345703,17283.330877200082,39.3193719791296
2,social,water,World,drinkingH2O,2002,3187834256,17416.680692490623,39.29297203355724
3,social,water,World,drinkingH2O,2003,3228391076,17658.316172354902,39.26254271089004
4,social,water,World,drinkingH2O,2004,3269189857,18189.75233340712,39.1550806993221
5,social,water,World,drinkingH2O,2005,3310183500,18589.064584007105,39.04029304505479
6,social,water,World,drinkingH2O,2006,3351236628,19093.633142663035,38.91658132954296
7,social,water,World,drinkingH2O,2007,3392526466,19583.397706067968,38.76808913818705
8,social,water,World,drinkingH2O,2008,3434876646,19640.163229240527,38.60102125218408
9,social,water,World,drinkingH2O,2009,3478301287,18929.624104755232,38.41875114668829
10,social,water,World,drinkingH2O,2010,3522427332,19436.85139764196,38.23393866125006
11,social,water,World,drinkingH2O,2011,3567860672,19733.84644838837,38.048199248612576
12,social,water,World,drinkingH2O,2012,3614012067,19882.734079546903,37.83329170285336
13,social,water,World,drinkingH2O,2013,3660572929,20044.53325429425,37.64947896792118
14,social,water,World,drinkingH2O,2014,3707520953,20255.09830210746,37.4757792375292
15,social,water,World,drinkingH2O,2015,3753981981,20428.622225354786,37.29803814391806
16,social,water,World,drinkingH2O,2016,3800117560,20597.888985097263,37.14883031682655
17,social,water,World,drinkingH2O,2017,3846427812,20932.065164018644,37.00568922002557
18,social,water,World,drinkingH2O,2018,3892633363,21236.91959360604,36.87285355829445
19,social,water,World,drinkingH2O,2019,3938252720,21446.43173249228,36.76082761424928
20,social,water,World,drinkingH2O,2020,3981745176,20300.952913900743,36.69581567943532
21,social,water,World,drinkingH2O,2021,4022349653,21159.8107205758,36.66407858322589
22,social,water,World,drinkingH2O,2022,4061989045,21527.829858278696,36.6379297173765
23,social,water,Bottom-40,drinkingH2O,2000,1054470022,2565.469993173845,71.3215125744287
24,social,water,Bottom-40,drinkingH2O,2001,1078630276,2634.963508315605,71.06347365065368
25,social,water,Bottom-40,drinkingH2O,2002,1103442948,2713.0850272155794,70.68900731815131
26,social,water,Bottom-40,drinkingH2O,2003,1128272108,2802.7578677237548,70.31488113080303
27,social,water,Bottom-40,drinkingH2O,2004,1152739114,2942.684180764058,69.90187083413298
28,social,water,Bottom-40,drinkingH2O,2005,1177225751,3062.59655924197,69.5084179715898
29,social,water,Bottom-40,drinkingH2O,2006,1201784365,3219.451886401424,69.13405582928733
30,social,water,Bottom-40,drinkingH2O,2007,1226168076,3353.9279084774603,68.72148410201687
31,social,water,Bottom-40,drinkingH2O,2008,1250880780,3462.6184213511783,68.24338493276844
32,social,water,Bottom-40,drinkingH2O,2009,1276635316,3556.364950798276,67.69210853866142
33,social,water,Bottom-40,drinkingH2O,2010,1303436768,3691.682698049829,67.1291261981537
34,social,water,Bottom-40,drinkingH2O,2011,1331105890,3805.874160398956,66.54632746100401
35,social,water,Bottom-40,drinkingH2O,2012,1358875246,3934.7219017363623,65.88745910658221
36,social,water,Bottom-40,drinkingH2O,2013,1386484874,4090.3254721487447,65.33659740974443
37,social,water,Bottom-40,drinkingH2O,2014,1414385985,4260.264332268811,64.80631748694518
38,social,water,Bottom-40,drinkingH2O,2015,1442454925,4387.760548720054,64.28936076194994
39,social,water,Bottom-40,drinkingH2O,2016,1471236066,4494.331337270759,63.80389566510443
40,social,water,Bottom-40,drinkingH2O,2017,1501059086,4614.770800238382,63.321728258371095
41,social,water,Bottom-40,drinkingH2O,2018,1531255584,4773.7833522358005,62.832824911844995
42,social,water,Bottom-40,drinkingH2O,2019,1561757660,4914.764402729938,62.3668099749252
43,social,water,Bottom-40,drinkingH2O,2020,1593495343,4761.126270664425,61.92336063094753
