,domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
0,social,energy,World,energyAccess,2000,6087113661,11033.593778486846,21.712166761740377
1,social,energy,World,energyAccess,2001,6168321963,11157.924027657036,21.218797449029978
2,social,energy,World,energyAccess,2002,6249366588,11289.939082169089,20.825411979576444
3,social,energy,World,energyAccess,2003,6330239342,11559.495576669651,19.969591132341108
4,social,energy,World,energyAccess,2004,6411455695,12000.204077563389,19.981507105774355
5,social,energy,World,energyAccess,2005,6493271134,12388.84340932646,19.22918227680465
6,social,energy,World,energyAccess,2006,6575894375,12881.718983200612,18.58172460581835
7,social,energy,World,energyAccess,2007,6659804230,13384.936003439365,17.812244767125833
8,social,energy,World,energyAccess,2008,6753659772,13554.87644970591,17.2126273086414
9,social,energy,World,energyAccess,2009,6840172498,13303.153428987966,16.803206356375725
10,social,energy,World,energyAccess,2010,6927291704,13796.6417931423,16.223395738771387
11,social,energy,World,energyAccess,2011,7014617158,14181.534053313428,15.170371392676373
12,social,energy,World,energyAccess,2012,7102957187,14457.278813069255,14.748080165853324
13,social,energy,World,energyAccess,2013,7191631788,14719.598108524537,13.98892057248635
14,social,energy,World,energyAccess,2014,7279857340,15050.324979535386,13.508042273256962
15,social,energy,World,energyAccess,2015,7367243918,15354.313495222154,12.791876673710533
16,social,energy,World,energyAccess,2016,7453927854,15641.917922024915,11.62971877927167
17,social,energy,World,energyAccess,2017,7540109842,16060.191327793138,10.809917269054026
18,social,energy,World,energyAccess,2018,7623892512,16431.285562868605,9.944689819519837
19,social,energy,World,energyAccess,2019,7704868157,16713.676317093705,9.64454631478516
20,social,energy,World,energyAccess,2020,7780698402,16015.845882759748,9.368784068942006
21,social,energy,World,energyAccess,2021,7848869118,16837.8414884704,8.439088574747217
22,social,energy,World,energyAccess,2022,7914502913,17254.434027524196,8.512055624269635
23,social,energy,Bottom-40,energyAccess,2000,2390496925,2590.9974391428664,49.27181623925327
24,social,energy,Bottom-40,energyAccess,2001,2441157194,2663.2031090486253,48.10960995267231
25,social,energy,Bottom-40,energyAccess,2002,2492714585,2731.9750022323224,47.330394259196744
26,social,energy,Bottom-40,energyAccess,2003,2544324485,2846.2560997209234,45.03121804654565
27,social,energy,Bottom-40,energyAccess,2004,2595669620,2992.2508778064066,45.12565598117221
28,social,energy,Bottom-40,energyAccess,2005,2646943702,3139.9579892205297,42.89405697809586
29,social,energy,Bottom-40,energyAccess,2006,2698319942,3312.081416215672,41.96339508763857
30,social,energy,Bottom-40,energyAccess,2007,2749859301,3481.6419270781485,39.96385776899063
31,social,energy,Bottom-40,energyAccess,2008,2810086898,3550.327833144699,38.73130359066925
32,social,energy,Bottom-40,energyAccess,2009,2862628786,3690.6612219346794,37.92269819210153
33,social,energy,Bottom-40,energyAccess,2010,2916557172,3860.087593058656,36.80893734244274
34,social,energy,Bottom-40,energyAccess,2011,2971219398,4025.339575358574,34.31594248147138
35,social,energy,Bottom-40,energyAccess,2012,3025496765,4118.907239318242,33.37417181650828
36,social,energy,Bottom-40,energyAccess,2013,3078734496,4261.941562979554,31.60550079203712
37,social,energy,Bottom-40,energyAccess,2014,3131533963,4461.00717186334,30.463124384290765
38,social,energy,Bottom-40,energyAccess,2015,3184625696,4655.56473539207,28.498086630303945
39,social,energy,Bottom-40,energyAccess,2016,3239351100,4835.955023097456,25.913294827072008
40,social,energy,Bottom-40,energyAccess,2017,3295224355,5037.397493099811,24.02400524012272
41,social,energy,Bottom-40,energyAccess,2018,3351275676,5234.702054758413,21.944718993926173
42,social,energy,Bottom-40,energyAccess,2019,3407742141,5364.77105881448,21.203063034017276
43,social,energy,Bottom-40,energyAccess,2020,3464675412,5076.04284296782,20.392299443807175
44,social,energy,Bottom-40,energyAccess,2021,3519786549,5287.298647675415,18.35380042748723
45,social,energy,Bottom-40,energyAccess,2022,3573523686,5529.041654165806,18.44263613667846
46,social,energy,Middle-40,energyAccess,2000,2771079507,7692.85018485735,5.189422266619914
47,social,energy,Middle-40,energyAccess,2001,2795128241,7902.984182376066,4.808814744038784
48,social,energy,Middle-40,energyAccess,2002,2817982774,8168.321690814426,4.316729624834821
49,social,energy,Middle-40,energyAccess,2003,2840378133,8528.850379276693,4.167846747889314
50,social,energy,Middle-40,energyAccess,2004,2863160639,9073.696198278563,3.8346619695550004
51,social,energy,Middle-40,energyAccess,2005,2886128730,9583.909852877112,3.9228633844755763
52,social,energy,Middle-40,energyAccess,2006,2908976565,10285.251123919892,3.0803054782602004
53,social,energy,Middle-40,energyAccess,2007,2931945847,11087.96033204242,2.9779121142137654
54,social,energy,Middle-40,energyAccess,2008,2955942444,11621.247297116652,2.5067808330438623
55,social,energy,Middle-40,energyAccess,2009,2981024091,11630.725189742872,2.139607837741565
56,social,energy,Middle-40,energyAccess,2010,3006436061,12302.342501699068,1.672686333607686
57,social,energy,Middle-40,energyAccess,2011,3031818549,12869.064810164246,1.469135909920837
58,social,energy,Middle-40,energyAccess,2012,3058599742,13418.780155524284,1.2363609043618453
59,social,energy,Middle-40,energyAccess,2013,3087056858,13858.936902267154,1.0684028408977184
60,social,energy,Middle-40,energyAccess,2014,3115874201,14317.047425141602,0.9436555758753968
61,social,energy,Middle-40,energyAccess,2015,3143671521,14682.35031361053,1.1086198514122856
62,social,energy,Middle-40,energyAccess,2016,3169140069,15090.746063579065,0.865055804922207
63,social,energy,Middle-40,energyAccess,2017,3193178974,15681.633581815418,0.7339007424204596
64,social,energy,Middle-40,energyAccess,2018,3214995105,16205.265939374283,0.7063592262918945
65,social,energy,Middle-40,energyAccess,2019,3233967613,16672.718839130957,0.6355618287387017
