,domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
0,social,connectivity,World,internet,2000,6087093935,11033.585774423003,93.5249978168704
1,social,connectivity,World,internet,2001,6168302135,11157.91575649126,91.99997741945563
2,social,connectivity,World,internet,2002,6249346737,11289.929672069056,89.42391265779273
3,social,connectivity,World,internet,2003,6330219462,11559.486218550295,87.76877966088784
4,social,connectivity,World,internet,2004,6411435788,12000.195241685731,85.89351277271666
5,social,connectivity,World,internet,2005,6493240985,12388.839510474303,84.44443853593782
6,social,connectivity,World,internet,2006,6575864462,12881.719735688315,82.77960972853488
7,social,connectivity,World,internet,2007,6659774597,13384.93597888585,79.73093600109722
8,social,connectivity,World,internet,2008,6744806539,13570.96143898732,77.18830822378132
9,social,connectivity,World,internet,2009,6830914212,13319.39295708107,74.64592668550112
10,social,connectivity,World,internet,2010,6917548504,13814.285959961324,71.45933651231131
11,social,connectivity,World,internet,2011,7004345585,14200.462225973131,68.99663322396557
12,social,connectivity,World,internet,2012,7092227193,14478.080076233704,66.51492899124398
13,social,connectivity,World,internet,2013,7180497258,14741.322797077588,64.52402243292588
14,social,connectivity,World,internet,2014,7268615320,15072.51447634318,62.340510369264294
15,social,connectivity,World,internet,2015,7356020640,15376.635099400555,59.947680271246945
16,social,connectivity,World,internet,2016,7442832496,15664.21822108196,56.916622370662395
17,social,connectivity,World,internet,2017,7529422097,16081.97926282373,54.58029597669068
18,social,connectivity,World,internet,2018,7613467395,16452.81448841366,51.54707569290379
19,social,connectivity,World,internet,2019,7694390443,16735.30646854002,46.90677913729161
20,social,connectivity,World,internet,2020,7770061888,16036.684720347122,40.82018604024728
21,social,connectivity,World,internet,2021,7838090311,16859.957675918846,38.17637318509968
22,social,connectivity,World,internet,2022,7903559026,17277.30407723654,35.824336715885494
23,social,connectivity,Bottom-40,internet,2000,2390496925,2590.9974391428664,99.52613264609826
24,social,connectivity,Bottom-40,internet,2001,2441157194,2663.2031090486253,99.36479509213449
25,social,connectivity,Bottom-40,internet,2002,2492714585,2731.9750022323224,98.70457875552167
26,social,connectivity,Bottom-40,internet,2003,2544324485,2846.2560997209234,98.26670820640317
27,social,connectivity,Bottom-40,internet,2004,2595669620,2992.2508778064066,97.69435435054739
28,social,connectivity,Bottom-40,internet,2005,2646943702,3139.9579892205297,97.0533121085011
29,social,connectivity,Bottom-40,internet,2006,2698319942,3312.081416215672,96.31256854469855
30,social,connectivity,Bottom-40,internet,2007,2749859301,3481.6419270781485,95.3236958117371
31,social,connectivity,Bottom-40,internet,2008,2801263010,3557.5426068377096,94.6145448035805
32,social,connectivity,Bottom-40,internet,2009,2853399559,3698.437792066154,93.65847213828673
33,social,connectivity,Bottom-40,internet,2010,2906842753,3868.8517088197127,91.3532732903016
34,social,connectivity,Bottom-40,internet,2011,2960976348,4034.968290422384,89.58503094031919
35,social,connectivity,Bottom-40,internet,2012,3014795161,4131.134523193988,88.32550058854525
36,social,connectivity,Bottom-40,internet,2013,3067628465,4274.915655511126,86.90388803460048
37,social,connectivity,Bottom-40,internet,2014,3120320679,4474.63224499865,84.96435195877933
38,social,connectivity,Bottom-40,internet,2015,3173431397,4669.573832281262,83.0186249525154
39,social,connectivity,Bottom-40,internet,2016,3228284995,4850.334301426057,80.5988820267648
40,social,connectivity,Bottom-40,internet,2017,3284566129,5051.578902885055,78.44104289212957
41,social,connectivity,Bottom-40,internet,2018,3340880347,5248.919327118378,75.80996249463605
42,social,connectivity,Bottom-40,internet,2019,3397294475,5378.856799695747,70.36802410132502
43,social,connectivity,Bottom-40,internet,2020,3454069185,5089.332126709156,62.5242207853561
44,social,connectivity,Bottom-40,internet,2021,3509038277,5301.32722272403,59.56042660802529
45,social,connectivity,Bottom-40,internet,2022,3562610522,5543.86282076746,56.612235097258264
46,social,connectivity,Middle-40,internet,2000,2771059781,7692.808821261589,97.31592573178052
47,social,connectivity,Middle-40,internet,2001,2795108413,7902.942839437011,96.14933797233002
48,social,connectivity,Middle-40,internet,2002,2817962923,8168.278832122501,93.81769255488177
49,social,connectivity,Middle-40,internet,2003,2840358253,8528.808311282033,91.95484310376358
50,social,connectivity,Middle-40,internet,2004,2863140732,9073.656064500548,89.88102139840956
51,social,connectivity,Middle-40,internet,2005,2886098581,9583.871779982044,88.23148569390378
52,social,connectivity,Middle-40,internet,2006,2908946652,10285.226125219457,85.76968240966559
53,social,connectivity,Middle-40,internet,2007,2931916214,11087.93706064039,81.55391363380551
54,social,connectivity,Middle-40,internet,2008,2955913099,11621.228319353962,76.88835088745955
55,social,connectivity,Middle-40,internet,2009,2980995032,11630.717370124625,72.07930668792828
56,social,connectivity,Middle-40,internet,2010,3006407280,12302.345034640328,67.40964960571144
57,social,connectivity,Middle-40,internet,2011,3031790026,12869.065213103731,63.32945748283964
58,social,connectivity,Middle-40,internet,2012,3058571352,13418.779464495396,59.4935083239692
59,social,connectivity,Middle-40,internet,2013,3087028359,13858.945578981356,56.49591754460829
60,social,connectivity,Middle-40,internet,2014,3115845465,14317.05070501406,53.61340396514498
61,social,connectivity,Middle-40,internet,2015,3143642542,14682.336574064317,50.18359980944148
62,social,connectivity,Middle-40,internet,2016,3169110816,15090.733737891154,46.7712139682927
63,social,connectivity,Middle-40,internet,2017,3193149455,15681.626121700332,43.72626508573805
64,social,connectivity,Middle-40,internet,2018,3214965317,16205.269878749908,39.45473290449445
