,domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
0,social,equality,World,genderGapIndex,2000,5987936475,11143.525953241922,45.690689249204155
1,social,equality,World,genderGapIndex,2001,6067400171,11269.16109618872,45.37950975394795
2,social,equality,World,genderGapIndex,2002,6146694074,11403.514831335073,45.15420986168963
3,social,equality,World,genderGapIndex,2003,6225703784,11675.39156958982,44.37073896405605
4,social,equality,World,genderGapIndex,2004,6305036969,12118.662403281058,44.10447289305973
5,social,equality,World,genderGapIndex,2005,6385063771,12509.677115215676,43.46597284077462
6,social,equality,World,genderGapIndex,2006,6465995974,13005.030631477915,42.82978949199389
7,social,equality,World,genderGapIndex,2007,6548161577,13510.902130355307,42.204529234908335
8,social,equality,World,genderGapIndex,2008,6631433245,13696.731902517133,42.28341208718599
9,social,equality,World,genderGapIndex,2009,6715781792,13442.818432650078,41.55653474921598
10,social,equality,World,genderGapIndex,2010,6800556597,13942.508229378447,40.82961397431628
11,social,equality,World,genderGapIndex,2011,6885549957,14330.97430872319,40.59328262104133
12,social,equality,World,genderGapIndex,2012,6971573392,14612.131730624928,40.10390438940673
13,social,equality,World,genderGapIndex,2013,7057757987,14878.737516534802,39.47087230037093
14,social,equality,World,genderGapIndex,2014,7143773390,15213.515843132103,39.01934046562751
15,social,equality,World,genderGapIndex,2015,7229099872,15521.76315843772,38.09754466615287
16,social,equality,World,genderGapIndex,2016,7313673290,15811.591222778465,37.42460957910796
17,social,equality,World,genderGapIndex,2017,7397948919,16234.81918239549,37.038959716410005
18,social,equality,World,genderGapIndex,2018,7479666350,16610.821316913636,36.375663484200736
19,social,equality,World,genderGapIndex,2019,7558225718,16900.08408104054,35.623579937163754
20,social,equality,World,genderGapIndex,2020,7631540374,16195.476628790198,35.22239636846872
21,social,equality,World,genderGapIndex,2021,7697244601,17037.45205163254,35.08063984549995
22,social,equality,World,genderGapIndex,2022,7760366644,17464.18412521262,34.72051095629909
23,social,equality,Bottom-40,genderGapIndex,2000,2305033859,2637.8848731949,64.62623467319749
24,social,equality,Bottom-40,genderGapIndex,2001,2354133417,2711.2793630273814,63.56537825154198
25,social,equality,Bottom-40,genderGapIndex,2002,2404099984,2780.4770825164014,63.32814705268098
26,social,equality,Bottom-40,genderGapIndex,2003,2453993436,2895.6900403739824,62.463448086989914
27,social,equality,Bottom-40,genderGapIndex,2004,2503595091,3041.1857081870667,61.883198442451324
28,social,equality,Bottom-40,genderGapIndex,2005,2553227674,3189.177972567319,60.51658379365505
29,social,equality,Bottom-40,genderGapIndex,2006,2603053759,3364.5960676655677,59.49312912277045
30,social,equality,Bottom-40,genderGapIndex,2007,2653009084,3535.268866028447,58.70476445292865
31,social,equality,Bottom-40,genderGapIndex,2008,2702827948,3610.051122942907,58.776063986482065
32,social,equality,Bottom-40,genderGapIndex,2009,2753383258,3750.927113346384,57.60137855661356
33,social,equality,Bottom-40,genderGapIndex,2010,2805146425,3922.798971156696,56.752555466155385
34,social,equality,Bottom-40,genderGapIndex,2011,2857666970,4090.707047397761,56.22774712954044
35,social,equality,Bottom-40,genderGapIndex,2012,2909842581,4186.235956477863,55.85114085496298
36,social,equality,Bottom-40,genderGapIndex,2013,2960816829,4332.8059941810725,55.42365624246457
37,social,equality,Bottom-40,genderGapIndex,2014,3011628425,4535.02554695132,54.78137877347867
38,social,equality,Bottom-40,genderGapIndex,2015,3062875450,4735.119735734198,53.23298800814771
39,social,equality,Bottom-40,genderGapIndex,2016,3115693132,4915.240337794042,52.91483724184042
40,social,equality,Bottom-40,genderGapIndex,2017,3169850445,5120.5307683583815,52.85227327155493
41,social,equality,Bottom-40,genderGapIndex,2018,3224035582,5321.156386454672,52.528273173723306
42,social,equality,Bottom-40,genderGapIndex,2019,3278266405,5452.071848500109,51.19174157232654
43,social,equality,Bottom-40,genderGapIndex,2020,3332830632,5153.378626392607,49.83085047959317
44,social,equality,Bottom-40,genderGapIndex,2021,3385613874,5387.598022097538,49.6033481454241
45,social,equality,Bottom-40,genderGapIndex,2022,3436973883,5636.707215304104,48.94615344765481
46,social,equality,Middle-40,genderGapIndex,2000,2764556454,7695.08149234658,37.97989403091423
47,social,equality,Middle-40,genderGapIndex,2001,2788501047,7904.465838239397,38.07270800034955
48,social,equality,Middle-40,genderGapIndex,2002,2811253682,8170.0205398361695,37.64690333616787
49,social,equality,Middle-40,genderGapIndex,2003,2833550634,8531.011531184711,36.605792289081776
50,social,equality,Middle-40,genderGapIndex,2004,2856233227,9076.106136827244,36.5569917509751
51,social,equality,Middle-40,genderGapIndex,2005,2879084923,9585.718442984766,36.27638965323427
52,social,equality,Middle-40,genderGapIndex,2006,2901822819,10285.672133265622,35.80447950933285
53,social,equality,Middle-40,genderGapIndex,2007,2924677305,11087.33898762926,35.06380390769299
54,social,equality,Middle-40,genderGapIndex,2008,2948552268,11620.35087626308,35.03448751704475
55,social,equality,Middle-40,genderGapIndex,2009,2973504405,11629.154565908282,34.37953716954389
56,social,equality,Middle-40,genderGapIndex,2010,2998779245,12302.42109379772,33.591069450328945
57,social,equality,Middle-40,genderGapIndex,2011,3024019897,12868.278255659492,33.48282427663537
58,social,equality,Middle-40,genderGapIndex,2012,3050651475,13417.698398778912,32.69127192023796
59,social,equality,Middle-40,genderGapIndex,2013,3078950711,13859.397659636572,32.13669062248915
60,social,equality,Middle-40,genderGapIndex,2014,3107606734,14318.201888567874,31.742601046345907
61,social,equality,Middle-40,genderGapIndex,2015,3135241667,14683.05734184212,31.151239298485628
62,social,equality,Middle-40,genderGapIndex,2016,3160549377,15092.793385288833,29.89818465949567
63,social,equality,Middle-40,genderGapIndex,2017,3184429538,15687.46658668792,29.109243814017148
64,social,equality,Middle-40,genderGapIndex,2018,3206072216,16212.60562721217,27.99505661780764
65,social,equality,Middle-40,genderGapIndex,2019,3224884083,16682.45390031754,27.52771622966889
66,social,equality,Middle-40,genderGapIndex,2020,3240482913,16363.106164095452,27.92078338929973
67,social,equality,Middle-40,genderGapIndex,2021,3251795583,17387.871564397792,27.63469828456926
68,social,equality,Middle-40,genderGapIndex,2022,3260995320,17881.546481055004,27.420674011209563
69,social,equality,Top-20,genderGapIndex,2000,918346162,42873.61998355648,21.3750819338645
70,social,equality,Top-20,genderGapIndex,2001,924765707,43200.33176231356,21.11721689707942
71,social,equality,Top-20,genderGapIndex,2002,931340408,43422.76084548271,20.90204727507109
72,social,equality,Top-20,genderGapIndex,2003,938159714,44137.97711831717,20.4973840128036
73,social,equality,Top-20,genderGapIndex,2004,945208651,45356.37807857556,19.820561010502217
74,social,equality,Top-20,genderGapIndex,2005,952751174,46322.99853044404,19.498884886706
75,social,equality,Top-20,genderGapIndex,2006,961119396,47325.0808876266,18.91042615292304
76,social,equality,Top-20,genderGapIndex,2007,970475188,48085.29022864957,18.61715997617035
77,social,equality,Top-20,genderGapIndex,2008,980053029,47761.09343185758,18.6081957247846
